,id,created_at,text
65,629686454596141056,2015-08-07 16:12:04,Building Unity games has never been easier! Meet Visual Studio Tools for @unity3D:  https://channel9.msdn.com/events/Visual-Studio/Visual-Studio-2015-Final-Release-Event/Building-Unity-games-in-Visual-Studio … #VSTU pic.twitter.com/62onLZNivm
66,630257203304374272,2015-08-09 06:00:01,"Wait, #VisualStudio2015 Tools for #Unity? Alright gamers, let's dev this: http://msft.it/6011B1reS  #VSTU pic.twitter.com/L8N5uKOYOo"
67,630258134209196032,2015-08-09 06:03:43,"Wait, #VisualStudio2015 Tools for #Unity? Alright gamers, let's dev this: http://msft.it/6011B1reS  #VSTU pic.twitter.com/WoIZeE0muL"
68,630259213042847745,2015-08-09 06:08:00,"msdev: Wait, #VisualStudio2015 Tools for #Unity? Alright gamers, let's dev this: http://msft.it/6011B1reS  #VSTU pic.twitter.com/z8MRtCTG0T"
69,630491017150599168,2015-08-09 21:29:07,"“@msdev: Wait, #VisualStudio2015 Tools for #Unity? Alright gamers, let's dev this: http://msft.it/6011B1reS  #VSTU pic.twitter.com/nMo7cerJOf”"
70,631097490893348865,2015-08-11 13:39:01,Unity project showing the use of an external C# project with Visual Studio Tools for Unity https://github.com/sailro/UnityExternal … #vstu @unityvs #unity3d
71,631107554379173888,2015-08-11 14:19:01,RT : Unity project showing the use of an external C# project with Visual Studio Tools for Unity http://ift.tt/1N0OQVQ  #vstu unityvs #uni…
72,631404210324697089,2015-08-12 09:57:49,Teaser of work in progress for @UnityVS & @VisualStudio 2015: IntelliSense for MonoBehaviour messages #vstu #unity3d pic.twitter.com/WfV5zba4mx
73,631405162381320192,2015-08-12 10:01:36,RT : Teaser of work in progress for UnityVS & VisualStudio 2015: IntelliSense for MonoBehaviour messages #vstu #un… pic.twitter.com/irugv51Ptr
74,631408980238184448,2015-08-12 10:16:46,RT : Unity project showing the use of an external C# project with Visual Studio Tools for Unity http://ift.tt/1N0OQVQ  #vstu unityvs #uni…
75,632253120538669056,2015-08-14 18:11:05,RT : Teaser of work in progress for UnityVS & VisualStudio 2015: IntelliSense for MonoBehaviour messages #vstu #un… pic.twitter.com/irugv51Ptr
76,633309461256474624,2015-08-17 16:08:36,RT : Teaser of work in progress for UnityVS & VisualStudio 2015: IntelliSense for MonoBehaviour messages #vstu #un… pic.twitter.com/irugv51Ptr
77,633527881008828416,2015-08-18 06:36:31,RT : Teaser of work in progress for UnityVS & VisualStudio 2015: IntelliSense for MonoBehaviour messages #vstu #un…pic.twitter.com/irugv51Ptr
78,636454391206297600,2015-08-26 08:25:26,"► SOUTĚŽ o vstupenky na Den s Rychtářem
http://bit.ly/1hdX0g2 
► Více soutěží na http://bit.ly/17QmnJM 
#vstu… http://bit.ly/1hdX0g2 "
79,638669830686699520,2015-09-01 11:08:48,"01.09.15 #photo #friends #vstu #нефтегаз #ardor @ ВГТУ, 2 Корпус https://instagram.com/p/7FfRy4BZC1/ "
80,638672254017081344,2015-09-01 11:18:25,"3 курс
Го, я создал #photo #vstu #нефтегаз #ardor https://instagram.com/p/7FgYTshZE4/ "
81,641312299630886912,2015-09-08 18:09:01,Sweet news from @unity3d. Now w/ tight #VisualStudio integration for a huge improvement in coding & debugging. http://spr.ly/6013ByNP9  #VSTU
82,641630644540448768,2015-09-09 15:14:01,#VisualStudio is the new default #Unity scripting editor... WhaWHAT?!? http://spr.ly/6019Byh05  - Unity 5.2 & #VSTU 2.1 pic.twitter.com/KNKMwp9Xn2
83,644104494247231488,2015-09-16 11:04:12,Дежурный #vstu#кто125#делатьнечего https://instagram.com/p/7sGrUBtt6SndNenD-EPEpi0yINXOI4LPCytrg0/ …
84,644174785858150401,2015-09-16 15:43:31,"Звёздный буфет #политех'а 
#волггту #vstu pic.twitter.com/6JoMgERrLl"
85,644478621344788484,2015-09-17 11:50:51,Получил степуху #vstu#кто125 https://instagram.com/p/7uwzycNt-3Lwbznz3gbDxgXrjp7j1kh_s0C1Q0/ …
86,644490511701667840,2015-09-17 12:38:06,"#Unity3D 5.2 and #VisualStudio Tools for Unity 2.1
http://blogs.msdn.com/b/visualstudio/archive/2015/09/08/unity-5-2-and-visual-studio-tools-for-unity-2-1.aspx …
http://blogs.unity3d.com/2015/09/08/unity-5-2-easy-access-to-unity-services/ …
https://www.visualstudio.com/features/unitytools-vs … ( #CSharp #VSTU )"
87,645027272077012993,2015-09-19 00:11:00,#честноефото #minmalism #mobilephotography #monochrome #truephotography #tru #snapseed #street #vstu… https://instagram.com/p/7yqTmcsPN9/ 
88,645973719886745601,2015-09-21 14:51:51,#volgograd #minmalism #mobilephotography #minimal #monochrome #snapseed #vscovolgograd #vstu #tru https://instagram.com/p/75Ys8JMPG1/ 
89,647040959683936256,2015-09-24 13:32:40,Активное обсуждение #дзк12 #vstu #design https://instagram.com/p/8A-BqJjUaq/ 
90,647881718049939456,2015-09-26 21:13:33,#minmalism #min #mobilephotography #vscovolgograd #snapseed #street #tru #truephotography #vstu… https://instagram.com/p/8G8W7vsPNn/ 
91,648220514276757504,2015-09-27 19:39:48,#minmalism #min #mobilephotography #monochrome #vstu #vscovolgograd #snapseed #street… https://instagram.com/p/8JWbMaMPMt/ 
92,648227152123547648,2015-09-27 20:06:11,#mobilephotography #minimal #truephotography #vstu #vscovolgograd #snapseed #minimalism #tru #volgograd https://instagram.com/p/8JZcbPMPEi/ 
93,648228121586614272,2015-09-27 20:10:02,#minmalism #volgograd #mobilephotography #minimalism #minimal #monochrome #vstu #street #snapseed… https://instagram.com/p/8JZ4pWMPFv/ 
94,648469430012219392,2015-09-28 12:08:54,"My love vstudents politex_tv profkom_vstu 
#vstu @ Volgograd State Technical University - ВолгГТУ https://instagram.com/p/8LHnYHvZf0/ "
95,654816519147274240,2015-10-16 00:29:58,#волгоград #VSTU by fomkinasw #volgogradpic.twitter.com/FuHMBsNueh
96,659477240695099393,2015-10-28 21:10:01,"Hey game devs! ...found this one on @MSDN Magazine, http://spr.ly/6015BO4Db  - Write games for UWP with #Unity #VSTU pic.twitter.com/tUH9xFaYi0"
97,659640108895834112,2015-10-29 07:57:12,"Удивительнее всего в Волгограде: #Ленин; #Волга и #волонтеры #ВолгГТУ #VSTU!  Очень милые, улыбчивые… https://instagram.com/p/9afdJ4M2ZQ/ "
98,660005831497244672,2015-10-30 08:10:27, #vstu #волггту @ Volgograd State Technical University https://instagram.com/p/9dDBFew5iW/ 
99,662167840351346688,2015-11-05 07:21:30,"Back in hell
#photographica #VSTU #Vitebsk #nikon_coolpix_L840 https://instagram.com/p/9sc7nJD4pM/ "
100,662191972321353728,2015-11-05 08:57:23,#photographica #VSTU #Vitebsk #nikon_coolpix_L840 https://instagram.com/p/9sn58yD4kf/ 
101,663372909335957504,2015-11-08 15:10:01,"Начало положено 
#диплом #vstu #политехpic.twitter.com/Sj4QraAkN3"
102,672044471882657792,2015-12-02 13:27:42,"Уже не так стыдно
#art #draw #picture #VSTU #Vitebsk @ Vitebsk State Technological University https://www.instagram.com/p/-yoTbgD4ri/ "
103,674198783853355008,2015-12-08 12:08:10,"Подготовка к выставке идет полным ходом
#tapestry #VSTU #Vitebsk #designer 
P.S. я играю в прятки… https://www.instagram.com/p/_B7-JJD4se/ "
104,675473532885823488,2015-12-12 00:33:34,#minmalism #vscovolgograd #snapseed #street #vstu #mobilephotography #truephotography https://www.instagram.com/p/_K_qb9MPIo/ 
105,675474428331978752,2015-12-12 00:37:08,#minmalism #mobilephotography #monochrome #truephotography #vstu #vscovolgograd #snapseed #street… https://www.instagram.com/p/_LAEhHsPJk/ 
106,678730509174861824,2015-12-21 00:15:38,#minmalism #vscovolgograd #snapseed #street #vstu #mobilephotography #minimal #truephotography… https://www.instagram.com/p/_iIw7isPE0/ 
107,678730650615193600,2015-12-21 00:16:11,#minmalism #vscovolgograd #snapseed #street #vstu #mobilephotography #minimal #truephotography… https://www.instagram.com/p/_iI1DAMPE8/ 
108,678784190847037440,2015-12-21 03:48:56,"А почему бы перед зачетом не запостить фотку с группой 
#ВолгГТУ #ХТ_141 #VSTU #student https://www.instagram.com/p/_ihLTGQckK/ "
109,684904075750543360,2016-01-07 01:07:11,"In a future #VisualStudio Tools for #Unity3d, custom syntax highlighting of Unity Messages. Yay? #vstu pic.twitter.com/qXJdB9soB4"
110,684906650960961536,2016-01-07 01:17:25,"In a future #VisualStudio Tools for #Unity3d, custom syntax highlighting of Unity Messages. Yay? #vstu pic.twitter.com/unQxtjhu60 via:@@jbevain"
